fen,moves,rating,themes
3rQ1k1/1p3p1p/2p2ppP/p7/3P2q1/1PP2N2/P3RPP1/1b4K1 b - - 2 27,d8e8 e2e8,399,endgame kingsideAttack master mate mateIn1 oneMove
rn4k1/5ppp/p2R4/1p6/8/1P3P2/P4r1P/2K4R b - - 0 23,f2a2 d6d8,399,backRankMate endgame mate mateIn1 oneMove
r1k1Q1r1/pp1n2pb/2pB3p/8/1PPP3P/q5N1/P4PP1/R3R1K1 b - - 4 22,g8e8 e1e8,399,mate mateIn1 middlegame oneMove
2k2r2/1pp3pp/p2P4/8/4p3/P1P1P1Pb/1P1Q3P/3R1qK1 w - - 1 31,d1f1 f8f1,399,endgame mate mateIn1 oneMove
r1b3k1/ppBp1ppp/8/3P4/8/8/P3qPPP/R3R1K1 b - - 1 17,e2b5 e1e8,399,backRankMate endgame mate mateIn1 oneMove
3r4/1kp4p/1br5/p3Q3/8/5N2/PP3PPP/1K6 w - - 1 32,e5e4 d8d1,399,endgame master mate mateIn1 oneMove
r3q1k1/2p5/pb6/1p1N1Qp1/1P6/P5B1/5PPP/R3r1K1 w - - 2 35,a1e1 e8e1,399,mate mateIn1 middlegame oneMove
r1kQ3r/pq5p/8/B4bp1/8/8/PPP4P/3R2K1 b - - 1 30,h8d8 d1d8,399,endgame mate mateIn1 oneMove
r2Qk3/1pp2p2/4b1n1/p1q3B1/2p5/2P5/PPP2PPP/3R1RK1 b q - 1 17,a8d8 d1d8,399,mate mateIn1 middlegame oneMove
3rkbnr/4pppp/p7/1pp1P3/6b1/N1P5/P3PPPP/R1B1KB1R w KQk - 0 11,e2e4 d8d1,399,mate mateIn1 middlegame oneMove
2k5/1pp1r3/2p3r1/p5p1/P1P1P1Np/bP1R1P1P/6K1/3R4 b - - 12 39,g6g7 d3d8,399,endgame mate mateIn1 oneMove
6k1/1p3pP1/2p2r1p/p2p4/3P4/P1PQ4/1PB3PP/5q1K w - - 13 35,d3f1 f6f1,399,backRankMate endgame mate mateIn1 oneMove
6k1/ppp1rppp/2B1b3/4p3/5P2/2N5/PPP3PP/3R2K1 b - - 0 17,b7c6 d1d8 e7e8 d8e8,399,backRankMate endgame mate mateIn2 short
2r4k/p5p1/2r3Pp/5Q2/3P4/8/P4P1K/8 b - - 0 38,c8f8 f5f8,399,endgame hangingPiece master mate mateIn1 oneMove queenRookEndgame
7k/ppp2r1p/2n1N3/4p3/3p3P/2PP4/PP2K3/5R2 b - - 1 29,f7e7 f1f8,399,endgame mate mateIn1 oneMove
